Time, Rain(mm),,,,, Latitude,23.77, Longitude,90.393,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190710,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190823,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210901,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230512,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140712,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150830,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170815,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180717,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180814,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200618,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210928,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20211020,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230608,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140920,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150920,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160913,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20161005,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180713,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180715,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180919,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200606,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200609,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200901,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200909,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210606,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230731,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150719,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170425,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180521,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200402,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140602,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150610,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150718,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160622,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170720,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170812,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170910,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171014,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190822,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200910,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140528,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140615,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140826,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160816,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160919,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170611,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170612,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170703,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170827,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171005,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171112,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190331,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160926,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170405,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180522,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180805,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190812,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200421,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210917,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220822,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230902,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140611,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140713,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150624,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150724,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170422,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170930,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210605,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230609,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230825,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230907,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140501,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150807,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160329,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160815,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160920,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190620,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190726,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200601,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210925,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20211013,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220803,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220805,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230617,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
